 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  21. 4.    Time:  10:15:20
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000 -100090.164 0.0577   0.8048E-07  0.1430E-06  0.2558E-02  0.0000E+00      -1   0.730E-05   20.00
   2    -1.0000  -78532.211 0.0613   0.1568E-06  0.1959E-06  0.2483E-02  0.1093E-03      -1   0.709E-05   20.00
   3    -2.0000  -66598.469 0.0639   0.2467E-06  0.2428E-06  0.2267E-02  0.1779E-03      -1   0.647E-05   20.00
   4    -3.0000  -59333.852 0.0658   0.3389E-06  0.2821E-06  0.2102E-02  0.2521E-03      -1   0.600E-05   20.00
   5    -4.0000  -53996.723 0.0674   0.4392E-06  0.3188E-06  0.1911E-02  0.3338E-03      -1   0.546E-05   20.00
   6    -5.0000  -50397.289 0.0686   0.5310E-06  0.3487E-06  0.1668E-02  0.4083E-03      -1   0.476E-05   20.00
   7    -6.0000  -47632.656 0.0696   0.6201E-06  0.3753E-06  0.1568E-02  0.4786E-03      -1   0.448E-05   20.00
   8    -7.0000  -45310.742 0.0705   0.7114E-06  0.4004E-06  0.1507E-02  0.5467E-03      -1   0.430E-05   20.00
   9    -8.0000  -43368.871 0.0713   0.8024E-06  0.4239E-06  0.1316E-02  0.6100E-03      -1   0.376E-05   20.00
  10    -9.0000  -41982.926 0.0719   0.8774E-06  0.4422E-06  0.1191E-02  0.6572E-03      -1   0.340E-05   20.00
  11   -10.0000  -40654.012 0.0725   0.9585E-06  0.4610E-06  0.1248E-02  0.7033E-03      -1   0.356E-05   20.00
  12   -11.0000  -39379.223 0.0731   0.1046E-05  0.4805E-06  0.1193E-02  0.7482E-03      -1   0.341E-05   20.00
  13   -12.0000  -38356.320 0.0736   0.1125E-05  0.4972E-06  0.1014E-02  0.7823E-03      -1   0.289E-05   20.00
  14   -13.0000  -37562.730 0.0740   0.1191E-05  0.5109E-06  0.9319E-03  0.8049E-03      -1   0.266E-05   20.00
  15   -14.0000  -36790.352 0.0744   0.1261E-05  0.5249E-06  0.9604E-03  0.8255E-03      -1   0.274E-05   20.00
