 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  21. 4.    Time:  10:15:20
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

       22  0.1000000E+01  0.19550E+00    2       44     4    -5     T
       25  0.2000000E+01  0.37500E+00    2       50     4    -5     T
       27  0.3000000E+01  0.50000E+00    2       54     4    -5     T
       29  0.4000000E+01  0.50000E+00    2       58     4    -5     T
       30  0.5000000E+01  0.10000E+01    2       60     4    -5     T
       31  0.6000000E+01  0.10000E+01    2       62     4    -5     T
       32  0.7000000E+01  0.10000E+01    2       64     4    -5     T
       33  0.8000000E+01  0.10000E+01    2       66     4    -5     T
       34  0.9000000E+01  0.10000E+01    2       68     4    -5     T
       35  0.1000000E+02  0.10000E+01    2       70     4    -5     T
       36  0.1100000E+02  0.10000E+01    2       72     4    -5     T
       37  0.1200000E+02  0.10000E+01    2       74     4    -5     T
       38  0.1300000E+02  0.10000E+01    2       76     4    -5     T
       39  0.1400000E+02  0.10000E+01    2       78     4    -5     T
       40  0.1500000E+02  0.10000E+01    2       80     4    -5     T
       41  0.1600000E+02  0.10000E+01    2       82     4    -5     T
       42  0.1700000E+02  0.10000E+01    2       84     4    -5     T
       43  0.1800000E+02  0.10000E+01    2       86     4    -5     T
       44  0.1900000E+02  0.10000E+01    2       88     4    -5     T
       45  0.2000000E+02  0.10000E+01    2       90     4    -5     T
       46  0.2100000E+02  0.10000E+01    2       92     4    -5     T
       47  0.2200000E+02  0.10000E+01    2       94     4    -5     T
       48  0.2300000E+02  0.10000E+01    2       96     4    -5     T
       49  0.2400000E+02  0.10000E+01    2       98     4    -5     T
       50  0.2500000E+02  0.10000E+01    2      100     4    -5     T
       51  0.2600000E+02  0.10000E+01    2      102     4    -5     T
       52  0.2700000E+02  0.10000E+01    2      104     4    -5     T
       53  0.2800000E+02  0.10000E+01    2      106     4    -5     T
       54  0.2900000E+02  0.10000E+01    2      108     4    -5     T
       55  0.3000000E+02  0.10000E+01    2      110     4    -5     T
end
