rRoot,vRoot,rTop,vTop,sum(Evap)
0.1607,0.16069,0.1962,0.1962,0.1962
0.14138,0.14136,0.1721,0.1721,0.3683
0.16379,0.16375,0.2017,0.2017,0.57
0.14364,0.14358,0.1295,0.1295,0.6995
0.16091,0.16077,0.1379,0.1379,0.8374
0.15359,0.15307,0.1437,0.11115,0.97296
0.16653,0.16574,0.1477,0.074327,1.0553
0.18347,0.18242,0.1291,0.058682,1.1175
0.17764,0.17643,0.1476,0.049207,1.1687
0.17139,0.17002,0.1706,0.040818,1.2095
0.19247,0.19071,0.1994,0.035978,1.2455
0.1791,0.17717,0.2117,0.030363,1.2759
0.15761,0.15563,0.1727,0.02596,1.3018
0.14393,0.14186,0.1999,0.022795,1.3246
0.151,0.14851,0.2136,0.020193,1.3448
0.15521,0.15221,0.2423,0.018095,1.3629
0.15566,0.15202,0.2493,0.015876,1.3788
0.17605,0.17088,0.2198,0.014021,1.3928
0.17939,0.17233,0.0002,0.0002,1.593
0.1249,0.12115,-2.296,-2.296,1.7095
0.13638,0.13017,0.1364,0.1364,1.8459
0.16244,0.15034,0.1734,0.1734,2.0193
0.21511,0.18912,0.2012,0.2012,2.2205
0.21944,0.18316,0.2181,0.2181,2.4386
0.20882,0.16759,0.2161,0.098765,2.6001
0.20043,0.15563,0.214,0.064109,2.676
0.19185,0.14463,0.2368,0.048179,2.7274
0.17778,0.13072,0.1898,0.036875,2.7667
0.17085,0.12265,0.2274,0.029715,2.7964
0.1546,0.10867,0.2199,0.02476,2.8212
0.15807,0.10912,0.2533,0.020918,2.8421
0.14357,0.097223,0.2004,0.017643,2.8597
0.16636,0.11082,0.2113,0.015265,2.875
0.16557,0.10788,0.218,0.013059,2.8881
0.16115,0.10276,0.1843,0.011085,2.8991
0.18417,0.11481,0.176,0.009561,2.9087
0.19146,0.11598,0.1992,0.008176,2.9169
0.21742,0.12766,0.1723,0.0069212,2.9238
0.20838,0.11756,0.1862,0.0058417,2.9296
0.17722,0.09616,0.1868,0.0049391,2.9346
0.15981,0.083796,0.1781,0.0043031,2.9389
0.16655,0.084561,0.2149,0.0038205,2.9427
0.15236,0.074639,0.194,0.0034063,2.9461
0.1555,0.073739,0.2016,0.0030612,2.9492
0.13794,0.063103,0.2266,0.0027719,2.9519
0.147,0.065186,0.2408,0.0025292,2.9545
0.15167,0.064826,0.2461,0.0023188,2.9568
0.17032,0.070063,0.2406,0.0021258,2.9589
0.16778,0.065888,0.2489,0.0019475,2.9609
0.18857,0.070731,0.2283,0.0017879,2.9627
0.19782,0.070161,0.2488,0.0016403,2.9643
0.2088,0.069805,0.2415,0.0015041,2.9658
0.24841,0.077779,0.2425,0.0013806,2.9672
0.23343,0.067361,0.2443,0.0012604,2.9684
0.2381,0.063751,0.1691,0.0011565,2.9696
0.21292,0.052563,0.2343,0.0010643,2.9707
0.19893,0.045787,0.2391,0.00098632,2.9717
0.18658,0.040125,0.2268,0.00091928,2.9726
0.16987,0.034323,0.2469,0.0008607,2.9734
0.15539,0.029667,0.2489,0.00081007,2.9742
0.14775,0.026796,0.2593,0.0007659,2.975
0.14678,0.025357,0.1643,0.00072647,2.9757
0.14179,0.023352,0.1814,0.00069041,2.9764
0.14923,0.023492,0.1867,0.0006577,2.9771
