 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  22. 4.    Time:  10:28:59
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

       22  0.1000000E+01  0.19550E+00    2       44    -4    -5     T
       25  0.2000000E+01  0.37500E+00    3       53    -4    -5     T
       27  0.3000000E+01  0.50000E+00    5       63    -4    -5     T
       29  0.4000000E+01  0.50000E+00    4       72    -4    -5     T
       31  0.5000000E+01  0.50000E+00    4       81    -4    -5     T
       34  0.6000000E+01  0.25000E+00    4       96     4    -5     T
       37  0.7000000E+01  0.33333E+00    3      106     4    -5     T
       39  0.8000000E+01  0.66667E+00    2      110     4    -5     T
       41  0.9000000E+01  0.50000E+00    2      114     4    -5     T
       42  0.1000000E+02  0.10000E+01    3      117     4    -5     T
       43  0.1100000E+02  0.10000E+01    2      119     4    -5     T
       44  0.1200000E+02  0.10000E+01    3      122     4    -5     T
       45  0.1300000E+02  0.10000E+01    2      124     4    -5     T
       46  0.1400000E+02  0.10000E+01    2      126     4    -5     T
       47  0.1500000E+02  0.10000E+01    2      128     4    -5     T
       48  0.1600000E+02  0.10000E+01    2      130     4    -5     T
       49  0.1700000E+02  0.10000E+01    2      132     4    -5     T
       50  0.1800000E+02  0.10000E+01    2      134     4    -5     T
       51  0.1900000E+02  0.10000E+01    5      139    -4    -5     T
      112  0.2000000E+02  0.37970E-01    4      377    -4    -5     T
      124  0.2100000E+02  0.17279E+00    3      418    -4    -5     T
      128  0.2200000E+02  0.26667E+00    2      428    -4    -5     T
      130  0.2300000E+02  0.50000E+00    4      436    -4    -5     T
      132  0.2400000E+02  0.50000E+00    5      446    -4    -5     T
      139  0.2500000E+02  0.12500E+00    2      482     4    -5     T
      143  0.2600000E+02  0.26667E+00    2      491     4    -5     T
      145  0.2700000E+02  0.50000E+00    2      497     4    -5     T
      147  0.2800000E+02  0.50000E+00    2      501     4    -5     T
      148  0.2900000E+02  0.10000E+01    2      503     4    -5     T
      149  0.3000000E+02  0.10000E+01    2      505     4    -5     T
      150  0.3100000E+02  0.10000E+01    2      507     4    -5     T
      151  0.3200000E+02  0.10000E+01    2      509     4    -5     T
      152  0.3300000E+02  0.10000E+01    2      511     4    -5     T
      153  0.3400000E+02  0.10000E+01    2      513     4    -5     T
      154  0.3500000E+02  0.10000E+01    2      515     4    -5     T
      155  0.3600000E+02  0.10000E+01    2      517     4    -5     T
      156  0.3700000E+02  0.10000E+01    2      519     4    -5     T
      157  0.3800000E+02  0.10000E+01    2      521     4    -5     T
      158  0.3900000E+02  0.10000E+01    2      523     4    -5     T
      159  0.4000000E+02  0.10000E+01    2      525     4    -5     T
      160  0.4100000E+02  0.10000E+01    2      527     4    -5     T
      161  0.4200000E+02  0.10000E+01    2      529     4    -5     T
      162  0.4300000E+02  0.10000E+01    2      531     4    -5     T
      163  0.4400000E+02  0.10000E+01    2      533     4    -5     T
      164  0.4500000E+02  0.10000E+01    2      535     4    -5     T
      165  0.4600000E+02  0.10000E+01    2      537     4    -5     T
      166  0.4700000E+02  0.10000E+01    2      539     4    -5     T
      167  0.4800000E+02  0.10000E+01    2      541     4    -5     T
      168  0.4900000E+02  0.10000E+01    2      543     4    -5     T
      169  0.5000000E+02  0.10000E+01    2      545     4    -5     T
      170  0.5100000E+02  0.10000E+01    2      547     4    -5     T
      171  0.5200000E+02  0.10000E+01    2      549     4    -5     T
      172  0.5300000E+02  0.10000E+01    2      551     4    -5     T
      173  0.5400000E+02  0.10000E+01    2      553     4    -5     T
      174  0.5500000E+02  0.10000E+01    2      555     4    -5     T
      175  0.5600000E+02  0.10000E+01    2      557     4    -5     T
      176  0.5700000E+02  0.10000E+01    2      559     4    -5     T
      177  0.5800000E+02  0.10000E+01    2      561     4    -5     T
      178  0.5900000E+02  0.10000E+01    2      563     4    -5     T
      179  0.6000000E+02  0.10000E+01    2      565     4    -5     T
      180  0.6100000E+02  0.10000E+01    2      567     4    -5     T
      181  0.6200000E+02  0.10000E+01    2      569     4    -5     T
      182  0.6300000E+02  0.10000E+01    2      571     4    -5     T
      183  0.6400000E+02  0.10000E+01    2      573     4    -5     T
      184  0.6500000E+02  0.10000E+01    2      575     4    -5     T
      185  0.6600000E+02  0.10000E+01    2      577     4    -5     T
      186  0.6700000E+02  0.10000E+01    2      579     4    -5     T
      187  0.6800000E+02  0.10000E+01    2      581     4    -5     T
      188  0.6900000E+02  0.10000E+01    2      583     4    -5     T
      189  0.7000000E+02  0.10000E+01    2      585     4    -5     T
      190  0.7100000E+02  0.10000E+01    2      587     4    -5     T
      191  0.7200000E+02  0.10000E+01    2      589     4    -5     T
      192  0.7300000E+02  0.10000E+01    2      591     4    -5     T
      193  0.7400000E+02  0.10000E+01    2      593     4    -5     T
      194  0.7500000E+02  0.10000E+01    2      595     4    -5     T
      195  0.7600000E+02  0.10000E+01    2      597     4    -5     T
      196  0.7700000E+02  0.10000E+01    2      599     4    -5     T
      197  0.7800000E+02  0.10000E+01    2      601     4    -5     T
      198  0.7900000E+02  0.10000E+01    2      603     4    -5     T
      199  0.8000000E+02  0.10000E+01    2      605     4    -5     T
      200  0.8100000E+02  0.10000E+01    2      607     4    -5     T
      201  0.8200000E+02  0.10000E+01    2      609     4    -5     T
      202  0.8300000E+02  0.10000E+01    2      611     4    -5     T
      203  0.8400000E+02  0.10000E+01    2      613     4    -5     T
      204  0.8500000E+02  0.10000E+01    2      615     4    -5     T
      205  0.8600000E+02  0.10000E+01    2      617     4    -5     T
      206  0.8700000E+02  0.10000E+01    2      619     4    -5     T
      207  0.8800000E+02  0.10000E+01    2      621     4    -5     T
      208  0.8900000E+02  0.10000E+01    2      623     4    -5     T
      209  0.9000000E+02  0.10000E+01    2      625     4    -5     T
      319  0.9100000E+02  0.12937E-01    4     1087    -4    -5     T
      354  0.9200000E+02  0.56840E-01    3     1224    -4    -5     T
      364  0.9300000E+02  0.13094E+00    4     1264    -4    -5     T
      370  0.9400000E+02  0.18750E+00    4     1287    -4    -5     T
      377  0.9500000E+02  0.15873E+00    2     1312     4    -5     T
      380  0.9600000E+02  0.37500E+00    3     1321     4    -5     T
      382  0.9700000E+02  0.50000E+00    3     1327     4    -5     T
      384  0.9800000E+02  0.50000E+00    2     1332     4    -5     T
      385  0.9900000E+02  0.10000E+01    6     1338    -4    -5     T
      388  0.1000000E+03  0.33333E+00    3     1359     4    -5     T
      390  0.1010000E+03  0.50000E+00    2     1363     4    -5     T
      392  0.1020000E+03  0.50000E+00    2     1367     4    -5     T
      393  0.1030000E+03  0.10000E+01    2     1369     4    -5     T
      394  0.1040000E+03  0.10000E+01    2     1371     4    -5     T
      395  0.1050000E+03  0.10000E+01    2     1373     4    -5     T
      396  0.1060000E+03  0.10000E+01    2     1375     4    -5     T
      397  0.1070000E+03  0.10000E+01    2     1377     4    -5     T
      398  0.1080000E+03  0.10000E+01    2     1379     4    -5     T
      399  0.1090000E+03  0.10000E+01    2     1381     4    -5     T
      400  0.1100000E+03  0.10000E+01    2     1383     4    -5     T
      401  0.1110000E+03  0.10000E+01    2     1385     4    -5     T
      402  0.1120000E+03  0.10000E+01    2     1387     4    -5     T
      403  0.1130000E+03  0.10000E+01    2     1389     4    -5     T
      404  0.1140000E+03  0.10000E+01    2     1391     4    -5     T
      405  0.1150000E+03  0.10000E+01    2     1393     4    -5     T
      406  0.1160000E+03  0.10000E+01    2     1395     4    -5     T
      407  0.1170000E+03  0.10000E+01    2     1397     4    -5     T
